,init_value,est_value
buildA4Base,0.27553941146574024,0.008312794299242032
V_A4S,0.5275165511229095,0.13490830173009125
Vmax_C,0.8271566614311567,0.33075633387386727
nC,2.0,2.0692238823975084
K_C,0.09074337150801666,0.7884428090395144
k_K1_mod,0.9918231416712463,2.8950250821813905
k_K1_unmod,0.8326580882759954,2.134968664573182e-117
buildN2Base,0.3818029043644738,947.2288056815315
V_degN2,0.368560072326951,589.9310757823665
buildS1Base,0.7829138832176108,0.4507253502168135
Vmax_S1,0.8283841677865638,0.8993226540869069
nS1,2.0,6.421494241807602
K_S1,0.7757120112600919,1.0193427353232511
V_N2A4,0.9972527553958624,999.9963854931813
degradA4,0.8974402524333445,0.027075024130498372
degradC,2.0076267962223864,0.10857960454603097
degradN2,0.8646359686678226,1658.2830119783757
degradS1,2.281112501551794,1.00443903383884
